id,length,start_time,trip_time,edge_start,edge_end
0,4.34,141.8,6.6,node2,2_6
1,4.15,141.8,81.8,3_2,1_8
2,4.69,141.8,68.9,3_2,2_6
3,4.61,141.8,17.0,9_2,2_6
4,4.57,141.8,15.8,7_3,3_10
5,4.54,141.8,25.5,10_3,3_7
6,4.36,141.8,7.7,node2,2_6
7,4.67,141.8,18.5,7_3,3_10
8,5.1,141.8,83.4,3_2,1_8
9,5.11,141.8,23.4,7_3,3_10
10,5.18,141.8,23.1,10_3,3_7
11,4.33,141.8,8.9,9_2,2_6
12,5.12,141.8,14.6,7_3,3_4
13,4.81,141.8,71.2,3_2,2_6
14,4.26,141.8,11.9,9_2,2_1
15,4.24,141.8,7.5,node2,2_6
16,4.3,141.8,9.7,9_2,2_6
17,7.83,141.8,72.7,3_2,1_0
18,8.4,141.8,89.9,4_3,2_6
19,4.87,141.8,147.6,3_2,1_0
20,4.88,141.8,20.6,7_3,3_10
21,4.46,141.8,16.4,7_3,3_4
22,6.42,141.8,45.1,2_3,3_10
23,4.56,141.8,66.7,3_2,2_6
24,5.39,141.8,75.7,3_2,2_6
25,4.89,141.8,72.6,3_2,2_6
28,4.73,142.7,90.6,4_3,2_6
29,5.56,143.2,62.8,4_3,3_10
30,5.26,144.8,79.4,4_3,3_10
31,4.35,145.4,17.3,9_2,2_6
32,4.74,146.5,11.0,9_2,2_6
33,4.79,146.8,10.5,9_2,2_6
34,5.1,147.1,50.2,9_2,3_4
35,4.69,148.1,11.0,9_2,2_6
36,4.71,148.3,73.4,4_3,1_0
37,4.8,148.8,12.5,9_2,2_3
39,5.12,149.3,155.5,4_3,1_0
40,4.8,150.1,10.8,9_2,2_6
41,4.56,151.1,14.1,9_2,2_6
42,4.35,151.9,15.4,7_3,3_10
43,4.46,152.3,14.6,9_2,2_6
44,5.18,152.6,154.6,4_3,1_0
46,4.45,154.4,15.1,9_2,2_6
47,4.46,154.4,14.5,7_3,3_10
48,4.17,154.6,11.5,9_2,2_6
49,5.14,154.7,10.5,9_2,2_6
50,4.55,155.4,11.8,9_2,2_6
51,4.99,156.7,14.9,9_2,2_3
52,12.81,156.7,56.0,9_2,3_4
53,4.53,156.7,15.3,9_2,2_6
